순번,이름,주소,메모,위도,경도,등록일
1,"반월호수공원","경기 군포시 둔대동 446-1","",37.32398155,126.88926423,"2025-04-24 13:44:13"
2,"더 갤러리 호수","서울 송파구 송파나루길 166 (신천동)","",37.51229724,127.10762015,"2025-04-30 08:11:15"
3,"원조할머니 학화호두과자 본점","충남 천안시 동남구 만남로 62 (신부동)","",36.81902054,127.15910386,"2025-05-04 10:34:14"
4,"강릉중앙시장","강원특별자치도 강릉시 금성로 21 (성남동)","",37.75402512,128.89862379,"2025-05-04 12:54:57"
5,"더강릉모텔","강원특별자치도 강릉시 중앙시장3길 18 (성남동)","",37.75128488,128.89693814,"2025-05-04 12:55:29"
6,"카툰플러스 사당역점","서울 관악구 과천대로 941 6층 (남현동)","",37.4746755,126.981446,"2025-05-05 13:21:14"
7,"북앤레스트","서울 강남구 삼성로104길 22 1층 (삼성동)","",37.51095239,127.05655307,"2025-05-10 06:19:21"
8,"스타김밥","부산 연제구 좌수영로 225 SK리버뷰아파트상가 (연산동)","",35.18313888,129.11431356,"2025-05-14 11:30:37"
9,"중랑장미공원","서울 중랑구 묵동 375","",37.61552724,127.07326844,"2025-05-16 23:01:11"
10,"60년전통 할매국밥","부산 동구 중앙대로533번길 4 (범일동)","",35.14101078,129.05616668,"2025-05-17 12:03:50"
11,"bst레스토랑","서울 중구 장충단로 226 소테츠호텔즈 더스프라지르 서울 동대문 2층 (광희동2가)","",37.56471935,127.00776465,"2025-05-17 12:11:52"
12,"오뎅이랑정종","서울 관악구 남현1길 58 1층 (남현동)","",37.47574937,126.98060009,"2025-05-17 17:35:56"
13,"돈키","서울 서초구 방배천로18길 10 1층 (방배동)","",37.48256861,126.98323044,"2025-05-17 17:36:51"
14,"김유순대구뽈찜","부산 남구 못골로 56 (대연동)","",35.13567924,129.08842046,"2025-05-17 18:14:51"
15,"깡돼후야시장","부산 중구 부평1길 57 1층 (부평동2가)","",35.10206951,129.02577387,"2025-05-17 18:15:19"
16,"가원밥상","부산 남구 수영로39번길 29 1층 (문현동)","",35.13841967,129.07220606,"2025-05-17 18:16:07"
17,"두께","서울 성동구 청계천로 484 청계벽산아파트상가 1층 110호 (홍익동)","",37.56934672,127.03074359,"2025-05-17 18:41:32"
18,"무악재하늘다리","서울 종로구 무악동 산 3-9","",37.57863995,126.95379737,"2025-05-17 18:43:30"
19,"논두렁 우렁쌈밥전문점 본점","서울 송파구 삼전로 79 동명하이텔 1층 (잠실동)","",37.50578594,127.08888624,"2025-05-26 07:03:30"
20,"농민백암순대 시청직영점","서울 중구 남대문로1길 33 1층 (북창동)","",37.56259825,126.97715943,"2025-05-26 12:21:03"
21,"멘츠루 강남점","서울 강남구 강남대로102길 13 2층 (역삼동)","",37.50204292,127.02685273,"2025-05-27 16:38:09"
22,"진주집","서울 영등포구 국제금융로6길 33 지하1층 5,6,7,27,28호 (여의도동)","",37.52059128,126.92695119,"2025-05-28 17:22:11"
23,"스타벅스 광장마켓점","서울 종로구 창경궁로 88 (예지동)","",37.57020847,127.00020828,"2025-05-30 18:47:46"
24,"용가회전훠궈 강남점","서울 서초구 서초대로77길 43 3층 (서초동)","",37.50139102,127.02491184,"2025-06-13 08:48:01"
25,"진밀옥","서울 강남구 테헤란로81길 16 1층 (삼성동)","",37.50820224,127.05713912,"2025-06-16 05:27:44"
26,"아홉산숲","부산 기장군 철마면 미동길 37-1 (철마면 웅천리)","",35.28704317,129.17151562,"2025-06-20 17:48:47"
27,"인왕산 수성동계곡","서울 종로구 옥인동 179-1","",37.58224713,126.96290206,"2025-06-23 06:39:54"
28,"용인자작나무숲","경기 용인시 처인구 백암면 황새울로 231 (백암면 석천리)","",37.11123984,127.35262487,"2025-06-25 06:54:20"
29,"스타벅스 더춘천의암호R점","강원특별자치도 춘천시 스포츠타운길 231 (삼천동)","",37.8634998,127.69132136,"2025-06-29 20:46:29"
30,"웨이브온커피","부산 기장군 장안읍 해맞이로 286 (장안읍 월내리)","",35.32229157,129.26978456,"2025-07-01 12:31:36"
31,"소금산출렁다리","강원특별자치도 원주시 지정면 간현리 산 116-1","",37.36866768,127.82468347,"2025-07-01 12:42:07"
32,"뮤지엄209","서울 송파구 잠실로 209 소피텔앰버서더호텔 3층 (신천동)","",37.51378699,127.10618805,"2025-07-03 05:59:16"
33,"용산어린이정원 주출입구","서울 용산구 용산동5가 2-1","",37.52837317,126.97029595,"2025-07-05 09:22:25"
34,"나순대국 신논현역점","서울 서초구 사평대로 349 서초빌딩 2층 205호 (반포동)","",37.50381002,127.0212936,"2025-07-06 15:04:48"
35,"5번출구피씨방","서울 광진구 아차산로 244 지하1층 (자양동)","",37.53973028,127.07020253,"2025-07-06 21:31:48"
36,"수원메쎄","경기 수원시 권선구 세화로134번길 37 (서둔동)","",37.26681386,126.99728973,"2025-07-09 08:58:37"
37,"무악동봉수대","서울 서대문구 홍제동 산 33-44","",37.57690364,126.94713288,"2025-07-11 06:53:48"
38,"포셋 연희점","서울 서대문구 증가로 18 연희빌딩 3층 305호 (연희동)","",37.57000465,126.93125871,"2025-07-11 07:37:41"
39,"우이천 수변활력거점","서울 강북구 수유동 647-4","",37.64328936,127.02992651,"2025-07-11 18:15:25"
40,"르뵈프","서울 영등포구 여의나루로 42 여의도종합상가 3층 326호 (여의도동)","",37.52146942,126.92497296,"2025-07-12 11:49:19"
41,"정동전망대","서울 중구 덕수궁길 15 서울시청 서소문청사 1동 13층 (서소문동)","",37.56456211,126.97561043,"2025-07-16 20:55:19"
42,"후암동전망대","서울 용산구 두텁바위로 148 (후암동)","",37.5518302,126.98091989,"2025-07-16 20:58:10"
43,"노스티모","서울 서초구 서초대로 125 201호 (방배동)","",37.48862811,126.99592035,"2025-07-18 22:21:56"
44,"푸슈","서울 서초구 서초대로19길 10-11 1층 (방배동)","",37.48785303,126.99179555,"2025-07-18 22:25:12"
