순번,이름,주소,메모,위도,경도,등록일
1,"대도조명백화점","서울 중구 창경궁로 70 (주교동)","",,,"2022-02-25 21:59:52"
2,"충무로애견거리","서울 중구 퇴계로 227 (충무로4가)","",,,"2022-02-25 22:04:08"
3,"부산복집","서울 서초구 반포대로20길 10 (서초동)","",,,"2022-02-27 14:57:23"
4,"서울 서초구 서초동 1487-32","명달로8길 21","더공감",,,"2022-03-06 10:48:29"
5,"서초보쌈","서울 서초구 서초대로 341 1층 (서초동)","",37.49550318,127.01874913,"2022-03-07 22:28:43"
6,"서울숲 공영주차장","서울 성동구 성수동1가 643","",,,"2022-03-12 18:42:23"
7,"한가커피","서울 마포구 동교로46길 25 (연남동)","",,,"2022-03-12 23:02:27"
8,"광한루남원추어탕","경기 수원시 팔달구 권광로 269 (인계동)","",,,"2022-03-12 23:03:16"
9,"공리특허짬뽕 수원인계점","경기 수원시 팔달구 권광로285번길 7 2층 (인계동)","",,,"2022-03-12 23:14:10"
10,"무탄","서울 강남구 논현로176길 22 1층 (신사동)","",37.52729542,127.03030774,"2022-03-15 08:18:24"
11,"겐코","경기 수원시 영통구 대학로 34 (이의동)","",37.29926218,127.04364346,"2022-03-15 19:44:24"
12,"이한부대찌개닭개장 경기대광교점","경기 수원시 영통구 대학1로 42 (이의동)","",,,"2022-03-15 19:44:45"
13,"쭈꾸미통닭발","경기 수원시 영통구 대학1로 12-1 101호 (이의동)","",,,"2022-03-15 19:45:30"
14,"히노아지 광교아브뉴프랑점","경기 수원시 영통구 센트럴타운로 85 203동 2층 A208,209호 (이의동)","",,,"2022-03-15 19:55:41"
15,"책발전소 광교점","경기 수원시 영통구 광교호수공원로 80 엘리웨이광교 B117호 (원천동)","",,,"2022-03-17 01:54:49"
16,"바닐라선데이","경기 수원시 영통구 대학1로64번길 14 103호 (이의동)","",,,"2022-03-17 01:55:45"
17,"커피 바이브","경기 수원시 영통구 광교호수공원로 277 광교중흥S클래스 어뮤즈스퀘어 B2층 248호 (원천동)","",,,"2022-03-17 01:57:14"
18,"컬렉션커피","경기 수원시 영통구 센트럴타운로 107 1층 (이의동)","",,,"2022-03-17 01:58:13"
19,"금돼지식당","서울 중구 다산로 149 (신당동)","",,,"2022-03-18 11:26:51"
20,"민트하임","서울 마포구 잔다리로6길 28 1층 (서교동)","",37.55219432,126.92066893,"2022-03-19 09:23:25"
21,"풍국면 광교앨리웨이점","경기 수원시 영통구 광교호수공원로 80 1층 (원천동)","",,,"2022-03-21 09:03:43"
22,"수린 광교점","경기 수원시 영통구 광교호수공원로 300 포레나 광교 지하1층 (하동)","",,,"2022-03-22 18:00:32"
23,"긴자료코 광교점","경기 용인시 수지구 광교중앙로 316 1층 103호 (상현동)","",,,"2022-03-22 18:00:51"
24,"상해루","경기 화성시 노작로 147 DM프라자 202호 (반송동)","",,,"2022-03-22 18:01:50"
25,"수원삼계탕","경기 수원시 영통구 동수원로537번길 6 1층 (원천동)","",,,"2022-03-29 13:14:09"
26,"레알라면","서울 동대문구 회기로25길 23-5 (회기동)","",,,"2022-04-07 08:05:15"
27,"오리올","서울 용산구 신흥로20길 43 (후암동)","",,,"2022-04-12 17:59:38"
28,"다운타우너 갤러리아광교","경기 수원시 영통구 광교중앙로 124 9층 (하동)","",,,"2022-04-12 18:00:19"
29,"구스아일랜드 브루하우스","서울 강남구 역삼로 118 1층 (역삼동)","",,,"2022-04-12 18:00:42"
30,"순대만드는집","서울 서초구 방배천로8길 6-2 (방배동)","",37.48049083,126.98286007,"2022-04-17 11:56:33"
31,"호시라멘","서울 서초구 방배천로2안길 39 1층 (방배동)","",37.4787412,126.98382033,"2022-04-17 11:57:49"
32,"신사강정육점식당","경기 수원시 장안구 정조로1088번길 11 (송죽동)","",37.30270043,127.00327552,"2022-05-10 07:44:17"
33,"이나경송탄부대찌개","경기 수원시 팔달구 효원로307번길 47 문화빌딩 1층 (인계동)","",37.26293664,127.03599941,"2022-05-12 07:11:43"
34,"유치회관","경기 수원시 팔달구 효원로292번길 67 (인계동)","",37.25876861,127.03218609,"2022-05-12 07:12:03"
35,"태화장 본점","경기 수원시 팔달구 아주로13번길 22 1층 (우만동)","",37.27612296,127.04268861,"2022-05-12 07:14:23"
36,"평장원 본점","경기 수원시 팔달구 인계로108번길 23 1,2층 (인계동)","",37.26664806,127.02937997,"2022-05-12 07:16:16"
37,"로마경양식","경기 수원시 팔달구 경수대로 549 (인계동)","",37.27493946,127.02930765,"2022-05-12 07:18:05"
38,"코끼리만두","경기 수원시 팔달구 중부대로3번길 27 (팔달로3가)","",37.27652226,127.0171928,"2022-05-12 07:23:55"
39,"마포옥","서울 마포구 토정로 312 1층 (용강동)","",37.53986369,126.94333458,"2022-05-16 07:39:15"
40,"마포양지설렁탕","서울 마포구 새창로 6 (도화동)","",37.54202931,126.95050685,"2022-05-16 07:39:30"
41,"원조조박집 본관","서울 마포구 토정로 313-1 1층 (용강동)","",37.53997206,126.9438663,"2022-05-16 07:39:48"
42,"마루심 마포점","서울 마포구 토정로 316 성진빌딩 1층 (용강동)","",37.53949975,126.94346611,"2022-05-16 07:41:09"
43,"마루심 본점","서울 서초구 고무래로10길 10 청구빌딩 1층 (반포동)","",37.50189414,127.01048141,"2022-05-16 07:41:32"
44,"수퍼 마포점","서울 마포구 삼개로 20 근신빌딩 별관 103호 (도화동)","",37.53868698,126.94721871,"2022-05-16 07:43:16"
45,"빈솔트","경기 안산시 단원구 대부북동 1870-78","",37.28117604,126.55209044,"2022-05-17 16:40:57"
46,"카페루헤","경기 안산시 단원구 서위매봉길 32 (대부북동)","",37.28231837,126.56853568,"2022-05-17 16:41:20"
47,"대부 DBB","경기 안산시 단원구 구봉길 59 (대부북동)","",37.27168918,126.5632127,"2022-05-17 18:13:01"
48,"삐쭉이칼국수","경기 안산시 단원구 대부황금로 1337 (대부북동)","",37.27564214,126.56914882,"2022-05-17 18:13:49"
49,"명가","경기 의왕시 솔고개길 23 (왕곡동)","",37.3434082,126.985031,"2022-05-17 18:17:05"
50,"송정식당","서울 종로구 종로40가길 13 (종로5가)","",37.57023355,127.00589976,"2022-05-18 08:21:42"
51,"진고개","서울 종로구 종로 301-1 (창신동)","",37.57203875,127.01128815,"2022-05-18 08:24:43"
52,"에베레스트 레스토랑 동대문점","서울 종로구 종로51가길 2-1 2층 (창신동)","",37.57257202,127.01250173,"2022-05-18 08:25:08"
53,"원조원할매소문난닭한마리","서울 종로구 종로5가 282-21","",37.57029124,127.00529756,"2022-05-18 08:29:18"
54,"남이분식","서울 종로구 종로40가길 3 (종로5가)","",37.57028037,127.00648386,"2022-05-18 08:32:03"
55,"스타사마르칸트","서울 중구 을지로42길 14 1층 (을지로6가)","",37.56570336,127.00566397,"2022-05-18 08:33:31"
56,"파르투내","서울 중구 마른내로 154 1,2층 (광희동1가)","",37.56461138,127.0050074,"2022-05-18 08:34:59"
57,"울란바타르","서울 중구 을지로44길 12 2층 (광희동1가)","",37.56562043,127.00637479,"2022-05-18 08:37:36"
58,"평양면옥","서울 중구 장충단로 207 (장충동1가)","",37.56324809,127.00669603,"2022-05-18 08:38:26"
59,"중화요리팔공","서울 관악구 남부순환로 1680 지하1층 (신림동)","",37.48405234,126.93711293,"2022-05-18 22:15:24"
60,"논밭골 봉천점","서울 관악구 청룡길 30 (봉천동)","",37.48049593,126.94594817,"2022-05-18 22:17:10"
61,"안녕부산","서울 관악구 관악로14길 45 (봉천동)","",37.47878961,126.95500306,"2022-05-18 22:18:18"
62,"아리차이 신림점","서울 관악구 신림동길 4 1층 (신림동)","",37.4876153,126.92827232,"2022-05-19 21:53:38"
