순번,이름,주소,메모,위도,경도,등록일
1,"마이니치라멘 토리점","서울 강남구 언주로115길 15 1층 102호 (논현동)","",37.50986138,127.03546052,"2024-08-10 14:50:47"
2,"라멘짱 반포점","서울 서초구 신반포로 194 고속터미널 1층 9호 (반포동)","",37.50643547,127.00683572,"2024-08-10 14:53:38"
3,"참치나라","서울 광진구 아차산로 431 (구의동)","",37.53867155,127.09018347,"2024-08-10 14:59:29"
4,"미즈오카찬","경기 수원시 팔달구 권광로180번길 53-8 1층 103호 (인계동)","",37.26339896,127.03571441,"2024-08-10 18:33:08"
5,"호텔1 별침대","부산 수영구 광안해변로 203 1~2층 (광안동)","",35.1524921,129.11743497,"2024-08-12 23:33:33"
6,"무야호랜드","서울 마포구 홍익로6길 44 1층 (동교동)","",37.55603115,126.92398766,"2024-08-13 08:29:36"
7,"드렁큰빈","서울 서초구 사평대로55길 56 지하1층-5층 (반포동)","",37.50648769,127.02197748,"2024-08-13 08:34:51"
8,"연오랑세오녀테마공원","경북 포항시 남구 동해면 임곡리","",36.00255565,129.46037309,"2024-08-14 06:19:53"
9,"오베뉴 한남","서울 용산구 한남대로20길 47-18 (한남동)","",37.53520966,127.01020095,"2024-08-16 01:38:16"
10,"경파중국집","서울 서초구 서운로 226 서초오피스텔 지하1층 5호 (서초동)","",37.50296663,127.02157383,"2024-08-16 20:25:06"
11,"타코노유메","부산 금정구 금정로52번길 50 (장전동)","",35.22887052,129.08876841,"2024-08-18 12:40:07"
12,"목향원","경기 남양주시 덕릉로1071번길 34-12 (별내동)","",37.6832276,127.10174933,"2024-08-18 14:51:08"
13,"서울앵무새 용산점","서울 용산구 한강대로62길 55 평복빌딩 1~3층 (한강로1가)","",37.53238882,126.9736161,"2024-08-23 06:25:41"
14,"실루엣커피","서울 마포구 독막로8길 33-5 1층 (합정동)","",37.54637205,126.91800453,"2024-08-25 18:46:57"
15,"아보고가","경기 김포시 하성면 월하로 977-19 (하성면 전류리)","",37.70338774,126.66100879,"2024-08-26 06:14:15"
16,"가혜리카페","경기 김포시 대곶면 덕포진로103번길 84 (대곶면 신안리)","",37.65109099,126.53866417,"2024-08-26 06:17:15"
17,"홀리쉽","경기 김포시 대곶면 덕포진로 18 1~3층 (대곶면 대명리)","",37.64718199,126.55112995,"2024-08-26 06:20:33"
18,"카페랄로 판교점","경기 성남시 분당구 하오개로 246 (운중동)","",37.39377055,127.04757508,"2024-08-27 23:12:58"
19,"한남만리 서래마을점","서울 서초구 동광로27길 3 1층 101호 (방배동)","",37.49416025,126.99479828,"2024-08-28 09:04:31"
20,"능동미나리","서울 용산구 한강대로40길 28 1,2층 (한강로2가)","",37.53009241,126.97082021,"2024-08-29 23:02:52"
21,"제스티살룬 성수","서울 성동구 서울숲4길 13 1층 (성수동1가)","",37.54756419,127.04244912,"2024-08-31 22:31:07"
22,"카페차 성수점","서울 성동구 서울숲6길 2 1층 (성수동1가)","",37.54786354,127.04184727,"2024-08-31 22:31:48"
23,"강서구민회관","서울 강서구 우장산로 66 (내발산동)","",37.55350137,126.84363928,"2024-09-05 14:47:29"
24,"브리즈 버거","서울 서초구 방배로19길 14 1층 (방배동)","",37.48526908,126.99418381,"2024-09-05 22:19:49"
25,"피치스 도원","서울 성동구 연무장3길 9 1층 (성수동2가)","",37.54442516,127.05138672,"2024-09-09 23:00:29"
26,"아델라베일리","서울 종로구 북악산로 48 1층 (부암동)","",37.59516583,126.97019242,"2024-09-13 06:24:17"
27,"도산정육블랙 청담본점","서울 강남구 선릉로155길 12 웬즈데이빌딩 3층 (신사동)","",37.52557381,127.0388437,"2024-10-10 22:10:53"
28,"대우부대찌개","서울 강남구 테헤란로25길 34 1층 (역삼동)","",37.50269666,127.03521737,"2024-10-21 08:36:01"
29,"먹거리집","서울 중랑구 면목로91길 8 1층 (상봉동)","",37.59457288,127.08539095,"2024-10-30 06:21:59"
30,"또순이네 마곡점","서울 강서구 마곡중앙로 59-21 에이스타워2차 1층 109호 (마곡동)","",37.55880439,126.82424301,"2024-11-02 18:46:50"
31,"누오바 이탈리아","서울 용산구 이촌로 352 신동아쇼핑센터 1층 101호 (용산동6가)","",37.51763964,126.98529036,"2024-11-07 06:39:11"
32,"시민소머리국밥","서울 동작구 동작대로27길 50 (사당동)","",37.48810382,126.97954307,"2024-11-08 20:21:31"
33,"파이공장","서울 동작구 동작대로27길 49 1층 (사당동)","",37.48792722,126.97950241,"2024-11-08 20:23:42"
34,"행복한맥주","서울 동작구 동작대로27길 49 (사당동)","",37.48793443,126.97951146,"2024-11-08 20:26:35"
35,"삼학도 생선구이조림","서울 동작구 동작대로29가길 7 1층 (사당동)","",37.48835639,126.98125717,"2024-11-08 20:28:32"
36,"남성집","서울 동작구 동작대로 127 1층 (사당동)","",37.48804295,126.9819583,"2024-11-09 07:50:59"
37,"경복궁함흥냉면","서울 동작구 동작대로27길 16-7 1층 (사당동)","",37.48788782,126.9809814,"2024-11-09 07:56:28"
38,"스시로 명동성당점","서울 중구 명동길 58 1-2층 (명동2가)","",37.56374565,126.98560275,"2024-11-16 18:41:07"
39,"요멘야고에몬 강남점","서울 서초구 서초대로77길 7 서초빌딩 1층 (서초동)","",37.49844982,127.02636291,"2024-11-21 19:59:48"
40,"이화만두","서울 광진구 능동로 278-1 1층 (능동)","",37.55469967,127.07847362,"2024-12-21 13:18:04"
41,"야끼니꾸 코미오","서울 금천구 가산디지털2로 142-13 1층 (가산동)","",37.48048304,126.8796497,"2024-12-27 13:34:39"
42,"서일순대국 본관","서울 동작구 여의대방로22길 20 1층 (신대방동)","",37.49746044,126.92095304,"2024-12-29 08:24:04"
43,"양사미","서울 서초구 방배로 199 1층 (방배동)","",37.49112544,126.9911891,"2024-12-29 22:55:11"
44,"따봉브라질","서울 용산구 보광로 118 한신빌딩 2층 (이태원동)","",37.53331427,126.99452855,"2025-01-05 09:45:18"
45,"흑송 우동소바 송정본점","부산 해운대구 송정광어골로 73 흑송우동소바 본점 (송정동)","",35.17501063,129.19651293,"2025-01-27 13:26:06"
46,"할머니냉면","서울 동대문구 왕산로37길 51 (제기동)","",37.5822701,127.04370058,"2025-02-27 00:00:40"
47,"타코스탠드","서울 용산구 신흥로 34 1층 (용산동2가)","",37.54142632,126.98725001,"2025-03-01 07:37:55"
48,"빠이762","서울 용산구 소월로20길 6 2층 (용산동2가)","",37.54626624,126.98518063,"2025-03-01 07:40:00"
49,"눕카페&피자펍","서울 용산구 신흥로26길 20 해방타워 5층 (용산동2가)","",37.54507315,126.98388182,"2025-03-01 07:40:23"
50,"디퍼","서울 마포구 와우산로38길 4 2층 (동교동)","",37.55551646,126.93096419,"2025-03-09 06:19:32"
51,"락희돈","서울 마포구 월드컵북로2길 86 1층 (동교동)","",37.55826969,126.92471425,"2025-03-09 06:21:33"
52,"홍대조폭떡볶이 홍대2호점","서울 마포구 홍익로6길 38 1층 (동교동)","",37.55587964,126.92376146,"2025-03-09 06:24:04"
53,"오늘은초밥&이자카야","서울 마포구 와우산로 162-10 1층 (서교동)","",37.55502995,126.93100991,"2025-03-09 06:25:58"
54,"명란식당","서울 종로구 자하문로5길 22 1층 (체부동)","",37.5777948,126.97066123,"2025-03-15 21:31:20"
55,"부암동스코프","서울 종로구 창의문로 149 1층 (부암동)","",37.59312414,126.96359869,"2025-03-15 21:35:57"
56,"토속촌삼계탕","서울 종로구 자하문로5길 5 (체부동)","",37.57772293,126.97149446,"2025-03-17 21:57:07"
57,"개미식당","서울 서초구 방배중앙로29길 30 1층 (방배동)","",37.49659195,126.98365703,"2025-03-24 06:58:54"
58,"양지 이수점","서울 동작구 동작대로27길 19 2층 (사당동)","",37.48747334,126.98087295,"2025-03-31 17:22:47"
59,"성남시 서현도서관","경기 성남시 분당구 중앙공원로 77 (서현동)","",37.38354242,127.13243964,"2025-04-01 14:15:10"
