순번,이름,주소,메모,위도,경도,등록일
1,"비비하우스","경기 고양시 일산동구 백마로 506 1~3층 (풍동)","",37.66231842,126.80446365,"2023-01-01 07:30:02"
2,"포지티브스페이스566","경기 김포시 검단로 910 5층 (감정동)","",37.62030373,126.69802394,"2023-01-01 07:30:32"
3,"포레리움","경기 김포시 양촌읍 양곡2로 134-60 (양촌읍 양곡리)","",37.6652307,126.62901218,"2023-01-01 07:30:53"
4,"아카데미하우스","서울 강북구 4.19로 135 (수유동)","",37.64043252,127.00140495,"2023-01-01 07:33:16"
5,"카페로이테","경기 남양주시 조안면 북한강로 866 (조안면 삼봉리)","",37.59321863,127.33838102,"2023-01-01 07:34:13"
6,"바트로 모안","경기 용인시 처인구 원삼면 사암리 332-1","",37.19228013,127.30615917,"2023-01-01 07:36:22"
7,"히말라야프레소","서울 용산구 녹사평대로40길 63 1층 (이태원동)","",37.53439241,126.98931944,"2023-01-01 07:37:03"
8,"대림창고","서울 성동구 성수이로 78 1층 (성수동2가)","",37.54171995,127.05625042,"2023-01-15 16:17:42"
9,"욕망의북카페","서울 강남구 강남대로102길 45 2, 3층 (역삼동)","",37.5038428,127.02825123,"2023-01-21 23:52:49"
10,"경동시장","서울 동대문구 고산자로36길 3 (제기동)","",37.57903714,127.03913637,"2023-01-23 07:50:21"
11,"스머프매직포레스트","서울 강남구 강남대로106길 29 지하 1층 스머프매직포레스트 (역삼동)","",37.50349061,127.02784396,"2023-01-23 07:51:28"
12,"에이비카페","서울 강남구 강남대로102길 32 (역삼동)","",37.50289682,127.02793422,"2023-01-23 07:52:10"
13,"신발원","부산 동구 대영로243번길 62 (초량동)","",35.11481502,129.03871169,"2023-01-23 23:08:53"
14,"신기해로","경남 거제시 남부면 다대5길 41 (남부면 다대리)","",34.73274808,128.62896265,"2023-01-24 10:53:46"
15,"브라운핸즈 부산점","부산 동구 중앙대로209번길 16 (초량동)","",35.11633637,129.03913018,"2023-01-24 21:55:50"
16,"더노벰버라운지 부산영도점","부산 영도구 동삼오션로 30 부산오션시티푸르지오 베이테라스상가 1,2층 (동삼동)","",35.06945874,129.08382786,"2023-01-25 06:05:45"
17,"더노벰버라운지 동탄점","경기 화성시 동탄대로21길 10 (영천동)","",37.20789737,127.09778215,"2023-01-25 06:07:09"
18,"더노벰버라운지 용인서천점","경기 용인시 기흥구 서천로172번길 31 (농서동)","",37.23181475,127.06984392,"2023-01-25 06:07:30"
19,"평상인제빵소","인천 중구 영종진광장로 46 마린파크 1층 121호~125호 (중산동)","",37.49559101,126.57910164,"2023-01-25 06:08:14"
20,"카페 얼트","인천 중구 은하수로 1 4층 403~406호 (중산동)","",37.49147676,126.58257807,"2023-01-25 06:09:32"
21,"바다앞테라스","인천 중구 은하수로 10 더테라스프라자 5층 (중산동)","",37.49213209,126.58139164,"2023-01-25 06:10:00"
22,"빌리앤오티스","인천 중구 백운로 333 (운북동)","",37.50439727,126.5208918,"2023-01-25 06:10:22"
23,"동양염전 베이커리카페","인천 중구 용유서로 32 1층 (남북동)","",37.44481447,126.40392063,"2023-01-25 06:10:44"
24,"엠클리프","인천 중구 마시란로 51-30 (덕교동)","",37.42584239,126.41992844,"2023-01-25 06:11:11"
25,"바닐라스카이","서울 관악구 남부순환로 1820 에그옐로우 15층 1호 (봉천동)","",37.48099595,126.95212094,"2023-01-30 12:08:14"
26,"플레이스690","경기 용인시 수지구 이종무로225번길 7 2층 (고기동)","",37.36068968,127.03370604,"2023-01-30 15:42:45"
27,"도미닉커피랩","경기 수원시 영통구 센트럴파크로127번길 46 상가 1층 (이의동)","",37.29476986,127.05396828,"2023-01-30 15:45:39"
28,"카페그루비","경기 수원시 영통구 센트럴파크로127번길 148 지하1층 (이의동)","",37.29396906,127.05542258,"2023-01-30 15:47:13"
29,"블루보틀 삼청 카페","서울 종로구 북촌로5길 76 1~3층 (소격동)","",37.58015029,126.98084474,"2023-01-30 16:47:33"
30,"가배도 삼청점","서울 종로구 북촌로5길 56-8 101호 (소격동)","",37.57990723,126.98215805,"2023-01-30 16:48:01"
31,"스타벅스 경동1960점","서울 동대문구 고산자로36길 3 경동시장 본관 3,4층 (제기동)","",37.57978512,127.03866354,"2023-01-30 16:50:33"
32,"블루보틀 성수 카페","서울 성동구 아차산로 7 (성수동1가)","",37.54808828,127.04564285,"2023-01-30 16:52:09"
33,"템포커피 방배점","서울 서초구 서초대로 111 1층 (방배동)","",37.48817754,126.99441425,"2023-01-30 18:44:07"
34,"박용정'S커피","경기 수원시 영통구 매영로 222 1층 박용정S커피 (원천동)","",37.26134997,127.06367319,"2023-02-01 07:29:38"
35,"벙커616","서울 강남구 강남대로110길 34 지하2층 (역삼동)","",37.50374024,127.02762239,"2023-02-01 11:12:22"
36,"엔트런스","서울 서초구 사임당로19길 72-3 1층 (서초동)","",37.49244331,127.0190469,"2023-02-01 11:12:59"
37,"카페아라","경기 수원시 영통구 청명로21번길 19 1층 (영통동)","",37.25000293,127.07896806,"2023-02-01 14:01:51"
38,"나인블럭 신갈점","경기 용인시 기흥구 용구대로2145번길 31 (신갈동)","",37.28204227,127.10442725,"2023-02-01 19:58:49"
39,"테라로사 포스코센터점","서울 강남구 테헤란로 440 포스코센터 1층 (대치동)","",37.50596474,127.05587976,"2023-02-02 20:13:25"
40,"스페이스앤무드","부산 부산진구 새싹로 22-1 13층 (부전동)","",35.15987307,129.05770365,"2023-02-05 15:44:48"
41,"아뜨리에파젠다","서울 서초구 서초대로 115 (방배동)","",37.48830641,126.99484279,"2023-02-07 10:56:46"
42,"더숲초소책방","서울 종로구 인왕산로 172 (옥인동)","",37.58594884,126.96426792,"2023-02-07 21:26:01"
43,"나인블럭 수원영통점","경기 수원시 영통구 신원로250번길 13 현대테라타워영통 지하1,2층 (원천동)","",37.25763448,127.06118783,"2023-02-15 07:36:31"
44,"껠끄쇼즈","서울 강남구 도곡로70길 5 (대치동)","",37.49699398,127.05662396,"2023-02-16 12:49:34"
45,"커피빈 강남역먹자골목점","서울 강남구 테헤란로1길 29 1~3층 (역삼동)","",37.50009845,127.02729195,"2023-02-16 13:12:08"
46,"원퍼밀","서울 강남구 강남대로106길 7 1층 (역삼동)","",37.50293145,127.0262299,"2023-02-16 13:13:12"
47,"슬로비C2","서울 서초구 효령로23길 62 1층 (방배동)","",37.48307414,126.99279556,"2023-02-16 17:05:15"
48,"밤부베이커리&브루잉서래","서울 서초구 동광로 77 5동 1~3층 (방배동)","",37.49316891,126.99089938,"2023-02-16 23:21:09"
49,"스타벅스 더북한산점","서울 은평구 대서문길 24-11 (진관동)","",37.65545919,126.94755773,"2023-02-17 21:10:30"
50,"광복동 12시","부산 중구 광복로67번길 20-14 (광복동2가)","",35.09950577,129.03206589,"2023-02-20 12:46:49"
51,"카페순간의순간","인천 강화군 삼산면 삼산남로 990 (삼산면 매음리)","",37.69210012,126.30150888,"2023-03-04 12:41:41"
52,"카페해도씨","서울 서초구 청계산로 235 2층 (원지동)","",37.44471671,127.05794966,"2023-03-08 21:07:34"
53,"맛차차","서울 성동구 서울숲2길 18-11 1층 (성수동1가)","",37.54682602,127.04059061,"2023-03-11 06:30:20"
54,"구테로이테","서울 강남구 선릉로131길 16 1층 (논현동)","",37.51769518,127.0396303,"2023-03-11 06:32:54"
55,"스타벅스 석촌호수점","서울 송파구 석촌호수로 262 지상 1, 2층 (송파동)","",37.5095242,127.10534052,"2023-03-12 15:03:44"
56,"리스카페","경기 성남시 분당구 판교역로2번길 29 1층 (백현동)","",37.38607548,127.11212784,"2023-03-18 10:38:07"
57,"태극당","서울 중구 동호로24길 7 (장충동2가)","",37.55950453,127.00507044,"2023-03-19 16:07:29"
58,"만화카페쉼표","서울 동작구 사당로 295 지하1층 (사당동)","",37.48506124,126.98027884,"2023-03-23 12:01:23"
59,"락PC방","서울 서초구 방배로 96 승미빌딩 지하1층 (방배동)","",37.48302387,126.99695858,"2023-03-23 12:03:27"
60,"카페지지","경기 성남시 분당구 벌말로50번길 41 투아이센터 1층 (야탑동)","",37.41174518,127.14334554,"2023-03-23 21:57:44"
61,"비디788","경기 성남시 분당구 판교로 788 A,B동 (야탑동)","",37.40477419,127.16004266,"2023-03-23 21:58:05"
62,"도넛드로잉","경기 성남시 분당구 대왕판교로 103 1층 (금곡동)","",37.35263064,127.10073483,"2023-03-23 21:58:34"
63,"모아니","경기 성남시 분당구 쇳골로 116 1층 (금곡동)","",37.36462902,127.08914505,"2023-03-23 21:58:53"
64,"칼리오페","경기 용인시 처인구 성산로170번길 23-1 1-2층 (역북동)","",37.24810621,127.19282775,"2023-03-23 22:12:51"
65,"경성빵공장","경기 광주시 남한산성면 남한산성로 714 (남한산성면 산성리)","",37.47594416,127.19057962,"2023-03-23 22:16:47"
66,"수산공원","경기 김포시 대곶면 대명항1로 52 (대곶면 대명리)","",37.64247389,126.54605505,"2023-03-23 22:18:32"
67,"포듐","경기 의왕시 바라산로 1 아울렛타임빌라스푸드홀층 3층 (학의동)","",37.37601154,127.00958322,"2023-03-24 22:38:09"
68,"마르쉐무아","서울 종로구 삼청로 122-4 지하1층~1층 (삼청동)","",37.58616011,126.98203201,"2023-03-29 07:05:31"
69,"리퍼블릭 오브 블루","서울 서초구 방배로16길 10 1층 (방배동)","",37.48460603,126.99645424,"2023-04-01 12:03:00"
70,"페니힐스","서울 동작구 동작대로1길 10-14 1,2층 (사당동)","",37.47789383,126.98099297,"2023-04-01 12:04:10"
71,"브라운홀릭","서울 강남구 강남대로98길 25 (역삼동)","",37.50105498,127.02870255,"2023-04-01 12:04:50"
72,"502커피로스터스 역삼점","서울 강남구 테헤란로 142 캐피탈타워 1층 (역삼동)","",37.49971442,127.03489932,"2023-04-01 12:05:12"
73,"아우어베이커리 광교앨리웨이점","경기 수원시 영통구 광교호수공원로 80 광교아이파크 에프동 1층 139, 140호 (원천동)","",37.27468182,127.06188941,"2023-04-01 12:07:35"
74,"로프커피","서울 광진구 동일로 304 광산빌딩 1층 (군자동)","",37.55825281,127.07347489,"2023-04-01 17:50:56"
75,"101커피컨테이너","서울 서초구 법원로3길 26 1층 (서초동)","",37.49306088,127.00772557,"2023-04-02 13:15:58"
76,"카페 모멘텀","서울 서초구 서초대로54길 46 101호 (서초동)","",37.49220582,127.01654555,"2023-04-02 21:15:03"
77,"블루보틀 역삼 카페","서울 강남구 테헤란로 129 강남N타워 1층 (역삼동)","",37.50003049,127.03237757,"2023-04-03 18:48:52"
